aonly_AA	aonly_DA	
12.746	32.816
15.734	57.821
17.722	59.825
18.71	79.829
19.698	60.834
22.686	-4.1619
22.674	-14.158
24.662	8.8468
27.65	8.8512
34.638	103.86
35.626	106.86
37.614	109.86
39.602	102.87
41.59	114.87
47.578	126.88
50.566	134.88
52.554	145.89
53.542	38.891
54.53	56.895
62.518	128.9
64.506	158.9
62.494	122.91
60.482	70.913
60.47	82.917
59.458	98.921
58.446	112.93
56.434	171.93
54.422	145.93
53.41	125.94
50.398	121.94
46.386	118.95
39.374	105.95
38.362	101.96
33.35	86.961
28.338	72.965
27.326	8.9695
26.314	97.974
24.302	150.98
19.29	49.983
17.278	67.987
16.266	70.991
16.747	9.8242
17.735	47.829
18.722	70.833
21.71	87.837
21.698	62.842
20.686	53.846
26.674	12.851
29.662	-36.145
32.65	-72.141
38.638	42.864
41.626	68.868
45.614	38.872
50.602	85.877
53.59	141.88
56.578	204.89
60.566	121.89
64.554	90.894
65.542	19.899
65.53	59.903
69.518	118.91
72.506	127.91
73.494	82.916
73.482	47.921
72.47	71.925
71.458	115.93
69.446	64.934
66.434	108.94
62.422	83.943
58.41	86.947
56.398	108.95
53.386	123.96
51.374	123.96
44.362	120.96
40.35	108.97
36.338	111.97
33.326	69.978
29.314	125.98
27.302	173.99
24.29	69.991
20.278	27.995
16.266	34
19.747	-2.1677
20.735	31.837
20.723	58.841
25.711	63.845
24.699	68.85
24.687	65.854
33.675	48.859
36.662	4.8629
40.65	-48.133
43.638	-11.128
49.626	59.876
53.614	28.88
61.602	55.885
67.59	110.89
69.578	157.89
76.566	93.898
79.554	18.902
80.542	61.907
80.53	86.911
82.518	86.916
86.506	74.92
87.494	86.924
89.482	104.93
88.47	99.933
88.458	117.94
83.446	86.942
78.434	41.946
74.422	37.951
70.41	89.955
64.398	100.96
60.386	95.964
58.374	103.97
49.362	112.97
47.35	103.98
45.338	114.98
42.326	132.99
32.314	105.99
30.302	78.994
28.29	83.999
23.278	16.003
19.266	15.008
20.747	-23.16
23.735	40.845
23.723	51.849
