donly_DD	donly_DA	
70.204	42.091
90.273	53.096
85.341	31.1
78.41	5.1043
69.479	40.109
47.547	57.113
18.616	4.1174
31.684	-8.8782
43.753	-33.874
80.821	11.131
122.89	20.135
110.96	18.139
98.027	26.144
136.1	38.148
117.16	40.152
102.23	34.157
113.3	37.161
116.37	23.166
152.44	13.17
137.51	48.174
139.58	87.179
144.64	12.183
125.71	45.188
147.78	51.192
148.85	70.196
149.92	5.2007
167.99	-58.795
149.06	-53.791
100.12	-28.786
90.193	12.218
77.261	25.223
102.33	29.227
127.4	45.231
124.47	33.236
122.54	16.24
102.6	-61.755
78.673	-48.751
104.74	-15.747
135.81	13.258
64.878	20.262
68.947	31.266
90.174	73.099
128.24	26.104
129.31	-30.892
111.38	-43.888
102.45	-19.883
95.517	-24.879
81.586	-16.875
91.654	-18.87
114.72	-13.866
140.79	30.139
142.86	37.143
126.93	23.147
123	16.152
160.07	28.156
159.13	33.161
133.2	82.165
161.27	49.169
165.34	14.174
144.41	8.1781
157.48	39.182
185.55	63.187
192.61	-20.809
182.68	-57.804
188.75	6.2
145.82	27.204
121.89	-1.7912
118.96	-29.787
179.03	-18.782
141.09	-33.778
139.16	-35.774
127.23	-4.7693
127.3	28.235
134.37	81.239
130.44	33.244
114.51	3.2482
84.574	-26.747
83.643	8.257
92.711	13.261
99.78	27.266
79.848	22.27
110.92	21.275
44.144	36.107
79.213	1.1116
143.28	-29.884
138.35	-25.88
134.42	-56.875
139.49	-54.871
145.56	-5.8665
154.62	-6.8621
176.69	-11.858
182.76	3.1467
155.83	58.151
133.9	20.155
127.97	-5.8402
183.04	-0.83578
226.1	3.1686
235.17	87.173
223.24	73.177
210.31	38.182
175.38	40.186
208.45	35.191
233.52	18.195
224.58	7.1993
220.65	-16.796
233.72	-9.7919
177.79	7.2124
150.86	8.2168
91.927	12.221
165	0.22558
180.06	-31.77
180.13	-65.766
166.2	-42.761
149.27	-10.757
144.34	60.247
131.41	32.252
108.48	-35.744
92.544	22.261
86.613	63.265
86.681	76.269
85.75	64.274
98.818	33.278
137.89	-9.7174
32.115	51.115
30.183	63.12
133.25	75.124
142.32	36.128
155.39	-77.867
148.46	-20.863
142.53	-22.858
161.59	-19.854
173.66	-29.85
154.73	-42.845
139.8	30.159
138.87	6.1635
136.94	-16.832
224.01	-6.8277
234.07	9.1767
266.14	43.181
257.21	87.185
247.28	69.19
240.35	35.194
257.42	12.199
259.49	-9.797
247.55	75.207
236.62	167.21
287.69	-0.78389
270.76	-14.78
249.83	2.2249
142.9	14.229
160.97	-7.7664
186.03	-19.762
180.1	-31.758
172.17	-46.753
184.24	-44.749
195.31	5.2556
157.38	62.26
132.45	5.2643
133.51	44.269
77.583	77.273
111.65	112.28
146.72	79.282
84.789	43.286
120.86	-13.709
87.085	58.123
99.153	69.128
138.22	80.132
145.29	22.137
151.36	-43.859
151.43	-27.855
155.5	-16.85
162.56	-2.846
174.63	1.1584
142.7	-7.8372
117.77	0.16719
173.84	2.1716
233.91	5.176
236.98	11.18
207.04	80.185
266.11	66.189
280.18	54.193
275.25	48.198
271.32	29.202
296.39	24.207
319.46	22.211
312.52	46.215
306.59	63.22
298.66	4.2242
282.73	29.229
239.8	65.233
186.87	53.237
225.94	33.242
264	-2.7539
247.07	-35.75
202.14	8.2548
211.21	38.259
220.28	77.264
173.35	59.268
120.42	27.272
125.48	53.277
121.55	80.281
109.62	98.286
97.69	107.29
118.76	57.294
115.83	46.299
124.05	70.131
130.12	92.136
130.19	104.14
128.26	57.145
127.33	20.149
152.4	2.1533
174.47	17.158
198.53	-3.8379
168.6	-22.834
210.67	18.171
197.74	6.1752
204.81	19.18
214.88	26.184
247.95	38.188
279.01	93.193
285.08	86.197
276.15	70.202
307.22	64.206
339.29	23.21
372.36	23.215
407.43	2.2191
365.49	-23.777
326.56	16.228
324.63	45.232
327.7	88.237
318.77	91.241
316.84	73.245
293.91	104.25
306.97	48.254
303.04	9.2585
287.11	-41.737
245.18	14.267
206.25	54.272
190.32	45.276
169.39	49.28
149.45	59.285
145.52	74.289
114.59	93.294
83.66	126.3
114.73	74.302
122.8	34.307
130.02	26.139
130.09	46.144
124.16	58.148
120.23	61.153
152.3	56.157
179.37	47.161
205.44	-10.834
221.5	-11.83
206.57	-32.825
270.64	8.1789
287.71	43.183
295.78	12.188
289.85	-28.808
313.92	25.196
351.98	85.201
342.05	93.205
339.12	101.21
390.19	95.214
444.26	67.218
482.33	64.223
522.4	39.227
464.46	25.232
409.53	71.236
420.6	96.24
432.67	130.24
439.74	90.249
446.81	58.253
373.88	47.258
335.94	96.262
334.01	89.267
337.08	30.271
277.15	-6.7247
222.22	26.28
228.29	49.284
236.36	62.288
184.42	51.293
144.49	24.297
135.56	74.302
139.63	98.306
130.7	67.31
127.77	16.315
145.99	11.148
138.06	2.1519
145.13	-5.8437
155.2	20.161
212.27	22.165
234.34	25.169
243.41	-34.826
238.47	1.1782
273.54	15.183
297.61	0.18697
334.68	36.191
405.75	-1.8043
454.82	-23.8
468.89	25.205
456.95	71.209
484.02	74.213
512.09	63.218
557.16	93.222
603.23	130.23
631.3	116.23
659.37	122.24
629.43	133.24
600.5	132.24
599.57	109.25
599.64	114.25
575.71	71.257
552.78	30.261
484.85	-20.734
414.91	86.27
374.98	93.275
336.05	109.28
320.12	47.283
305.19	44.288
285.26	52.292
265.33	37.297
225.39	28.301
188.46	-7.6947
197.53	45.31
170.6	41.314
155.67	24.318
141.74	28.323
190.97	77.156
173.03	39.16
186.1	2.1643
216.17	5.1687
245.24	-15.827
273.31	-36.823
283.38	15.182
291.44	27.186
321.51	63.191
365.58	23.195
410.65	-17.801
469.72	21.204
533.79	109.21
655.86	81.213
669.92	57.217
692.99	55.221
715.06	-4.7743
764.13	71.23
814.2	154.23
822.27	127.24
830.34	130.24
820.4	121.25
811.47	114.25
805.54	97.256
799.61	80.261
754.68	52.265
710.75	25.27
624.82	43.274
542.88	58.278
462.95	29.283
388.02	0.28706
390.09	100.29
393.16	70.296
341.23	37.3
292.3	0.30459
290.36	5.309
286.43	12.313
271.5	25.318
132.57	5.3221
149.64	-12.673
166.71	34.331
227.94	89.164
242	73.168
253.07	57.172
281.14	45.177
295.21	46.181
247.28	11.186
339.35	-5.8101
363.42	22.194
392.48	57.199
499.55	16.203
550.62	-30.793
628.69	50.212
739.76	148.22
787.83	87.221
799.9	132.22
860.96	80.229
923.03	12.234
989.1	95.238
1059.2	185.24
1106.2	181.25
1154.3	48.251
1113.4	72.256
1073.4	96.26
1061.5	97.264
1049.6	102.27
984.65	76.273
922.72	51.278
787.79	88.282
664.85	111.29
618.92	56.291
573.99	4.2951
489.06	83.3
410.13	136.3
416.2	78.308
422.27	43.313
405.33	13.317
314.4	6.3214
259.47	-0.6742
180.54	-9.6698
170.61	1.3346
160.68	35.339
256.91	54.172
318.97	40.176
300.04	35.18
271.11	36.185
348.18	59.189
358.25	45.194
458.32	24.198
487.39	38.202
514.45	54.207
606.52	38.211
698.59	59.216
879.66	75.22
932.73	89.224
1050.8	104.23
1144.9	146.23
1219.9	133.24
1299	166.24
1370.1	162.25
1443.1	156.25
1509.2	154.25
1577.3	77.259
1587.3	158.26
1598.4	244.27
1469.5	210.27
1347.6	150.28
1301.6	165.28
1255.7	179.29
1087.8	174.29
933.83	143.29
877.89	112.3
823.96	82.303
662.03	97.308
556.1	124.31
523.17	60.316
490.24	13.321
453.3	-5.6749
306.37	-12.671
271.44	10.334
250.51	22.338
221.58	52.343
193.65	20.347
277.88	40.18
346.94	52.184
349.01	36.189
401.08	28.193
472.15	49.197
547.22	74.202
591.29	90.206
640.36	100.21
690.42	97.215
859.49	98.219
947.56	163.22
1241.6	146.23
1240.7	127.23
1433.8	203.24
1606.8	213.24
1735.9	238.25
1896	310.25
